,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
902,18713.410156,18713.410156,2012-05-25,18778.439453,18577.089844,18734.380859,%5eHSI,1576541900
901,18800.990234,18800.990234,2012-05-28,18858.320312,18672.320312,18672.320312,%5eHSI,1267920400
900,19055.460938,19055.460938,2012-05-29,19058.470703,18735.50,18735.50,%5eHSI,1512895300
899,18690.220703,18690.220703,2012-05-30,18897.119141,18604.449219,18897.119141,%5eHSI,1934253000
898,18629.519531,18629.519531,2012-05-31,18657.900391,18378.140625,18470.769531,%5eHSI,4197772800
897,18558.339844,18558.339844,2012-06-01,18726.439453,18487.660156,18498.910156,%5eHSI,1859948800
896,18185.589844,18185.589844,2012-06-04,18249.609375,18056.400391,18249.609375,%5eHSI,1607428300
895,18259.029297,18259.029297,2012-06-05,18412.019531,18223.130859,18373.220703,%5eHSI,1373497300
894,18520.529297,18520.529297,2012-06-06,18521.570312,18320.609375,18349.679688,%5eHSI,1637171800
893,18678.289062,18678.289062,2012-06-07,18845.570312,18624.429688,18825.50,%5eHSI,1549611000
892,18502.339844,18502.339844,2012-06-08,18797.939453,18461.179688,18797.939453,%5eHSI,2547084200
891,18953.630859,18953.630859,2012-06-11,18978.880859,18847.669922,18978.880859,%5eHSI,1527709500
890,18872.560547,18872.560547,2012-06-12,18925.789062,18708.259766,18719.890625,%5eHSI,1336823000
889,19026.519531,19026.519531,2012-06-13,19029.550781,18812.939453,18948.449219,%5eHSI,1417480400
888,18808.400391,18808.400391,2012-06-14,18937.539062,18795.650391,18901.710938,%5eHSI,1313826200
887,19233.939453,19233.939453,2012-06-15,19254.560547,18919.169922,18924.089844,%5eHSI,2717020800
886,19427.810547,19427.810547,2012-06-18,19578.130859,19395.929688,19578.130859,%5eHSI,1581595100
885,19416.669922,19416.669922,2012-06-19,19472.050781,19320.179688,19451.199219,%5eHSI,1205020200
884,19518.849609,19518.849609,2012-06-20,19578.820312,19469.130859,19551.890625,%5eHSI,1176157900
883,19265.070312,19265.070312,2012-06-21,19495.539062,19258.109375,19480.710938,%5eHSI,1298230800
882,18995.130859,18995.130859,2012-06-22,19089.449219,18976.050781,18992.900391,%5eHSI,1080368400
881,18897.449219,18897.449219,2012-06-25,19066.75,18861.560547,19019.029297,%5eHSI,1133257000
880,18981.839844,18981.839844,2012-06-26,18998.470703,18850.470703,18850.470703,%5eHSI,1324221200
879,19176.949219,19176.949219,2012-06-27,19213.919922,18942.00,18990.169922,%5eHSI,1425576400
878,19025.269531,19025.269531,2012-06-28,19305.740234,19009.259766,19305.740234,%5eHSI,1466323700
877,19441.460938,19441.460938,2012-06-29,19510.769531,18991.099609,18996.570312,%5eHSI,2039720800
876,19441.460938,19441.460938,2012-07-02,19441.460938,19441.460938,19441.460938,%5eHSI,000
875,19735.529297,19735.529297,2012-07-03,19765.410156,19622.369141,19765.410156,%5eHSI,1532735700
874,19709.75,19709.75,2012-07-04,19835.130859,19677.449219,19833.839844,%5eHSI,1402212000
873,19809.130859,19809.130859,2012-07-05,19869.109375,19588.630859,19757.419922,%5eHSI,1268796100
872,19800.640625,19800.640625,2012-07-06,19839.119141,19690.640625,19752.830078,%5eHSI,1763031600
871,19428.089844,19428.089844,2012-07-09,19737.919922,19421.75,19634.839844,%5eHSI,1440446900
870,19396.359375,19396.359375,2012-07-10,19515.890625,19347.230469,19504.419922,%5eHSI,1179214100
869,19419.869141,19419.869141,2012-07-11,19441.119141,19233.759766,19264.580078,%5eHSI,1642334000
868,19025.109375,19025.109375,2012-07-12,19356.789062,18998.300781,19356.789062,%5eHSI,2017688200
867,19092.630859,19092.630859,2012-07-13,19160.490234,19032.589844,19069.359375,%5eHSI,1267621700
866,19121.339844,19121.339844,2012-07-16,19265.339844,19061.669922,19265.339844,%5eHSI,1095972800
865,19455.330078,19455.330078,2012-07-17,19479.279297,19156.960938,19156.960938,%5eHSI,1396005600
864,19239.880859,19239.880859,2012-07-18,19452.240234,19134.570312,19452.240234,%5eHSI,1169099100
863,19559.050781,19559.050781,2012-07-19,19600.320312,19393.449219,19393.449219,%5eHSI,1693489600
862,19640.800781,19640.800781,2012-07-20,19656.109375,19511.900391,19613.779297,%5eHSI,1298960700
861,19053.470703,19053.470703,2012-07-23,19259.359375,18986.199219,19259.359375,%5eHSI,1256215800
860,18903.199219,18903.199219,2012-07-24,19124.960938,18854.320312,19078.140625,%5eHSI,929872600
859,18877.330078,18877.330078,2012-07-25,18925.660156,18710.589844,18762.199219,%5eHSI,1332514400
858,18892.789062,18892.789062,2012-07-26,18961.580078,18793.150391,18870.330078,%5eHSI,1112498900
857,19274.960938,19274.960938,2012-07-27,19330.689453,19162.529297,19165.029297,%5eHSI,1570697800
856,19585.400391,19585.400391,2012-07-30,19593.619141,19478.699219,19505.029297,%5eHSI,1452095200
855,19796.810547,19796.810547,2012-07-31,19840.160156,19618.570312,19661.410156,%5eHSI,1856288400
854,19820.380859,19820.380859,2012-08-01,19898.919922,19646.960938,19646.960938,%5eHSI,1798568800
853,19690.199219,19690.199219,2012-08-02,19786.710938,19651.759766,19784.150391,%5eHSI,1229663600
852,19666.179688,19666.179688,2012-08-03,19673.699219,19454.330078,19553.789062,%5eHSI,1153392500
851,19998.720703,19998.720703,2012-08-06,20091.300781,19978.650391,20052.50,%5eHSI,1437034800
850,20072.550781,20072.550781,2012-08-07,20117.119141,19983.759766,20033.869141,%5eHSI,1411302800
849,20065.519531,20065.519531,2012-08-08,20188.880859,19966.119141,20188.880859,%5eHSI,1239183500
848,20269.470703,20269.470703,2012-08-09,20300.029297,20149.199219,20149.199219,%5eHSI,1302333500
847,20136.119141,20136.119141,2012-08-10,20222.130859,20045.300781,20204.710938,%5eHSI,1439089700
846,20081.359375,20081.359375,2012-08-13,20188.480469,20037.810547,20188.480469,%5eHSI,990601400
845,20291.679688,20291.679688,2012-08-14,20299.720703,20094.019531,20251.419922,%5eHSI,1525964900
844,20052.289062,20052.289062,2012-08-15,20135.00,20016.029297,20125.289062,%5eHSI,1271710400
843,19962.949219,19962.949219,2012-08-16,20151.689453,19919.560547,20151.689453,%5eHSI,1058187000
842,20116.070312,20116.070312,2012-08-17,20147.390625,20047.640625,20057.310547,%5eHSI,1209409600
841,20104.269531,20104.269531,2012-08-20,20109.560547,19911.490234,20080.320312,%5eHSI,1020566200
840,20100.089844,20100.089844,2012-08-21,20141.160156,19979.580078,20111.970703,%5eHSI,1049001300
839,19887.779297,19887.779297,2012-08-22,19996.730469,19853.419922,19996.730469,%5eHSI,1032597200
